Term,Frequency,Source
bleiben,22,FDP
pandemie,8,FDP
gezeigt,7,FDP
gespürt,1,FDP
vorher,3,FDP
welt,9,FDP
verändert,1,FDP
rasant,1,FDP
erwachsen,1,FDP
chancen,41,FDP
risiken,8,FDP
ändern,5,FDP
tragen,7,FDP
ergreifen,2,FDP
deutschland,106,FDP
trügerische,1,FDP
bild,2,FDP
vermittelt,1,FDP
könne,2,FDP
versprechen,1,FDP
vertraut,1,FDP
land,27,FDP
gerne,1,FDP
leben,23,FDP
verändern,1,FDP
falsch,1,FDP
ergebnis,3,FDP
politik,18,FDP
unseren,13,FDP
staat,34,FDP
träge,2,FDP
schlank,2,FDP
stark,9,FDP
staaten,21,FDP
verwaltung,13,FDP
digitalisiert,2,FDP
formularen,1,FDP
zettelwirtschaft,1,FDP
festgehalten,1,FDP
gesundheitssystem,4,FDP
gesundheitsämter,1,FDP
gegenseitig,1,FDP
faxe,1,FDP
geschickt,1,FDP
hochqualifizierte,1,FDP
beamtinnen,5,FDP
beamte,4,FDP
listen,2,FDP
abgetippt,1,FDP
hilfe,7,FDP
moderner,7,FDP
digitaler,11,FDP
technologien,11,FDP
effektiv,8,FDP
infektionsketten,1,FDP
nachzuverfolgen,1,FDP
per,6,FDP
sms,1,FDP
impfungen,1,FDP
einladen,2,FDP
impftermine,1,FDP
brief,1,FDP
vergeben,2,FDP
schützende,1,FDP
masken,2,FDP
schnell,15,FDP
pragmatisch,1,FDP
schutzbedürftige,2,FDP
schicken,1,FDP
drucken,1,FDP
aufwendig,1,FDP
bezugsscheine,1,FDP
versenden,1,FDP
post,3,FDP
nötigen,4,FDP
gefährdete,1,FDP
belebten,1,FDP
innenstädten,1,FDP
abzuholen,1,FDP
krise,8,FDP
basistechnologie,1,FDP
papier,2,FDP
geklammert,1,FDP
wären,3,FDP
20,3,FDP
jahrhundert,3,FDP
umfassend,6,FDP
modernisieren,12,FDP
21,5,FDP
ankommen,1,FDP
bilanz,2,FDP
kosten,14,FDP
zukunft,31,FDP
wettbewerb,35,FDP
unternehmertum,1,FDP
innovation,16,FDP
fördern,44,FDP
setzte,2,FDP
koalition,5,FDP
altbekanntes,1,FDP
altmodisches,1,FDP
wohlstand,9,FDP
nachhaltigkeit,3,FDP
wachstum,12,FDP
klimapolitik,2,FDP
wirtschaftliche,13,FDP
stärke,2,FDP
ökologische,3,FDP
verantwortung,14,FDP
verbinden,7,FDP
verbote,7,FDP
dirigismus,1,FDP
sozialsysteme,2,FDP
fit,5,FDP
probleme,1,FDP
demographischen,5,FDP
wandels,5,FDP
verschärft,2,FDP
weltbeste,2,FDP
bildung,43,FDP
sorgen,16,FDP
zugelassen,1,FDP
bildungssystem,7,FDP
fairen,10,FDP
