Term,Frequency
BLEIBEN,1
Pandemie,8
gezeigt,7
Gespürt,1
vorher,3
Welt,9
verändert,1
rasant,1
erwachsen,1
Chancen,38
Risiken,8
ändern,5
tragen,7
ergreifen,2
Deutschland,106
trügerische,1
Bild,2
vermittelt,1
bleiben,21
könne,2
Versprechen,1
vertraut,1
Land,24
gerne,1
leben,4
verändern,1
falsch,1
Ergebnis,3
Politik,18
unseren,13
Staat,33
träge,2
schlank,2
stark,9
Staaten,21
Verwaltung,13
digitalisiert,2
Formularen,1
Zettelwirtschaft,1
festgehalten,1
Gesundheitssystem,4
Gesundheitsämter,1
gegenseitig,1
Faxe,1
geschickt,1
Hochqualifizierte,1
Beamtinnen,5
Beamte,3
Listen,2
abgetippt,1
Hilfe,7
moderner,7
digitaler,9
Technologien,11
effektiv,8
Infektionsketten,1
nachzuverfolgen,1
per,6
SMS,1
Impfungen,1
einladen,2
Impftermine,1
Brief,1
vergeben,2
schützende,1
Masken,2
schnell,15
pragmatisch,1
schutzbedürftige,2
schicken,1
drucken,1
aufwendig,1
Bezugsscheine,1
versenden,1
Post,3
nötigen,4
gefährdete,1
belebten,1
Innenstädten,1
abzuholen,1
Krise,8
Basistechnologie,1
Papier,2
geklammert,1
wären,3
20,3
Jahrhundert,3
umfassend,6
modernisieren,11
21,5
ankommen,1
Bilanz,2
Leben,19
Kosten,14
Zukunft,29
Wettbewerb,35
Unternehmertum,1
Innovation,14
fördern,44
setzte,2
Koalition,5
Altbekanntes,1
Altmodisches,1
Wohlstand,9
Nachhaltigkeit,3
Wachstum,12
Klimapolitik,2
wirtschaftliche,13
Stärke,2
ökologische,3
Verantwortung,14
verbinden,7
Verbote,7
Dirigismus,1
Sozialsysteme,2
fit,4
Probleme,1
demographischen,5
Wandels,5
verschärft,2
weltbeste,1
Bildung,41
sorgen,16
zugelassen,1
Bildungssystem,7
fairen,8
Aufstiegschancen,3
bietet,9
Eigeninitiative,1
Übernahme,1
persönlicher,2
Einzelnen,4
stärken,68
verzettelte,1
Bürokratie,17
handlungsfähigen,3
Rechtsstaat,6
Sicherheit,21
Bürgerrechte,5
gleichermaßen,3
schützt,5
Freiheit,33
erschreckenden,1
Art,2
Weise,5
untergeordnet,1
Nachricht,1
Schicksal,1
Hand,11
Mission,2
LAND,3
STECKT,1
Kraft,6
umfassenden,4
Modernisierung,14
Deutschlands,9
steckt,4
Kräften,2
freien,4
Wissenschaft,11
Sozialen,6
Marktwirtschaft,13
schnelle,7
Entwicklung,38
Impfstoffen,2
Covid,4
19,5
deutsche,16
Forscherinnen,1
Forscher,2
zeigt,4
Harte,1
Arbeit,21
Entschlossenheit,1
Erfindergeist,4
Berge,1
versetzen,3
Grundlage,21
wichtiger,10
Holen,1
Neustart,1
RICHTIGE,1
RICHTUNG,1
MITTE,1
VORNE,1
Veränderung,2
nötig,2
Fortschritt,7
Alte,1
Irrwege,2
finden,5
neuerdings,1
Zulauf,1
versuchen,2
Merkmale,2
Herkunft,7
Kultur,15
Religion,4
sexuelle,4
Orientierung,4
Hautfarbe,1
spalten,2
gegeneinander,2
Stellung,2
bringen,10
Linke,1
Erfolg,6
Einkommen,11
Vermögen,2
Beides,2
vorne,3
Mitte,3
richtige,3
Richtung,3
heißt,2
Aufholwettbewerb,2
Entfesseln,1
Kräfte,3
weltbester,2
Nutzen,6
Agilität,1
wachsen,2
Vorreiter,2
Gründen,7
neu,12
Digitalisierung,25
Pflichtprogramm,2
Gesundheitswesen,11
Arbeitsmarkt,10
Schubkraft,1
Bewältigung,3
Herausforderungen,25
Europa,29
Menschenrechte,20
weltweit,22
German,5
Mut,2
Klimaschutz,16
nachhaltige,15
Aufbau,7
Eigentum,7
Zukunftssicherung,1
Freie,376
Demokraten,375
setzen,78
Prosperität,1
Gegenmodell,2
dirigistischen,1
Klein,2
verzettelt,1
Erziehungsberechtigter,1
Bürgerinnen,36
Bürger,30
aufführt,1
stehen,28
lebendige,2
Kulturszene,1
Entfaltung,2
individueller,5
Kreativität,3
Gesellschaft,22
zusammenhalten,1
vorgegebenen,1
Lebensentwurf,1
anpassen,6
respektieren,1
persönliche,3
Entscheidung,9
erkennen,5
Krisenzeiten,4
gelten,10
Privilegien,2
abgetan,2
Belieben,1
zugeteilt,2
vorenthalten,2
Eigenverantwortung,7
Privatinitiative,1
Individuums,1
gemeinsam,12
Wertepartnern,1
globalen,9
Westens,1
entschlossen,3
verteidigt,1
globale,5
Kooperation,8
Wohle,1
befördert,1
Agenda,6
2030,7
Vereinten,12
Nationen,13
17,3
Zielen,2
umfassendsten,1
Versuch,1
Menschheit,2
verschiedenen,4
Aspekte,1
nachhaltiger,3
global,3
verbindendes,1
Zielsystem,1
Chance,13
zukünftige,6
Generationen,8
Beitrag,17
leistet,4
Frieden,5
dient,4
Weltoffenheit,2
Toleranz,6
Ideen,11
lebendigen,5
Demokratie,19
selbstbewusster,1
Ziel,34
GESTALTEN,1
unserem,7
geben,18
mitwirken,2
Stimme,4
Fortschritts,3
Bürgern,8
bewältigen,5
Potentiale,4
entfesseln,2
legen,3
Programm,5
Überzeugung,3
Taktik,1
Farbenspiele,1
treten,10
Bundestagswahl,1
Koalitionen,1
richtigen,4
seriöse,2
Bundesregierung,9
Freien,5
gebildet,2
Wert,5
politischen,10
angemessene,3
Bedeutung,9
erhält,4
möglichst,7
umzusetzen,2
gewählt,2
Kanzler,1
Kanzlerin,1
stellen,27
Wahl,7
Sozialer,1
umfassender,1
modern,1
agiert,1
selbstzufrieden,1
altmodisch,1
Demokratien,6
USA,6
Kurs,1
kräftiges,1
anhaltendes,2
Wirtschaftswachstum,5
Systemische,1
Wettbewerber,2
autoritäre,2
Regime,3
Chinas,6
reklamieren,1
erfolgreichere,1
Wege,4
Umso,2
entschlossener,1
Fundament,2
Weltspitze,2
Wettbewerbsfähigkeit,3
Steuern,8
Abgaben,5
Investieren,1
massiv,4
Grundlagen,3
Aufstieg,6
Lassen,1
Infrastrukturen,2
länger,6
verkommen,1
bauen,5
Stärken,2
Freihandels,3
Bringen,1
Verhältnis,6
Privat,2
Leistungsbereitschaft,1
fördernde,1
Balance,3
Geben,2
Mittelstand,7
Selbstständigen,4
Start,14
ups,11
Raum,13
kreative,2
Lösungen,13
Ermutigen,1
erschweren,2
SICHERUNG,1
SOZIALEN,1
MARKTWIRTSCHAFT,1
STÄRKUNG,1
WIRTSCHAFT,1
Coronakrise,11
Wirtschaft,24
Fahrt,1
verloren,2
trotz,3
Wachstumskurs,1
zukunftsfähigen,2
Standort,3
Arbeitsplätze,8
brauchen,30
echte,5
Modernisierungsimpulse,1
Innovationskraft,4
entlasten,16
investieren,6
Schnelle,1
Negative,2
Gewinnsteuer,3
Wirtschaftskrisen,1
fordern,110
kurzfristige,1
Liquiditätshilfe,1
direkt,4
Finanzamt,3
ausgezahlt,1
Steuervorauszahlungen,1
Konten,1
Unternehmen,71
abzubuchen,1
überweisen,1
Finanzämter,1
negative,2
beziehungsweise,14
Körperschaftsteuer,3
Liquiditätssoforthilfe,1
Bemessungsgrundlage,2
letzte,1
Steuerbescheid,1
Schritt,11
deutlich,10
erweiterte,1
Verlustverrechnung,1
Gewinnen,2
vergangener,1
künftiger,2
eingeführt,2
wirtschaftlichen,11
unbürokratische,1
Hilfen,4
verhindern,27
unnötige,3
Jobverluste,1
Insolvenzen,1
Entfesselungspakt,2
Maßnahmen,18
Bürokratieentlastung,1
gebündelt,5
vorangetrieben,1
stetig,1
wachsende,1
Bürokratiedschungel,1
belastet,1
deutschen,16
bremst,2
Initiativen,9
Bürokratieentlastungsgesetz,1
IV,2
Strategie,8
Einheitliche,2
Ansprechpartner,3
2,11
0,8
Verlegung,1
Sozialversicherungsbeiträge,1
Folgemonat,1
Gesamtstrategie,3
gilt,13
schlankere,2
Vergabe,2
Register,3
Informationsbestimmungen,1
Belastung,4
geplante,2
Regelungen,14
doppelten,3
Umfang,6
Belastungen,2
abgebaut,6
One,6
two,1
out,2
europäischer,10
Ebene,14
Unternehmensteuerlast,1
25,4
Prozent,26
senken,7
steuerliche,4
OECD,4
Durchschnitt,1
Organisation,4
Zusammenarbeit,14
Zuge,5
angestrebten,4
Harmonisierung,1
Unternehmensbesteuerung,1
Sonderweg,1
Gewerbesteuer,1
beenden,8
Finanzierung,16
Kommunen,11
gestellt,4
kommunalen,1
Zuschlag,1
eigenem,1
Hebesatzrecht,1
zuvor,2
abgesenkte,1
Einkommensteuer,3
höheren,5
Anteil,6
Umsatzsteuer,1
Zudem,27
Mindestbesteuerung,1
einsetzen,8
Fairness,5
internationalen,17
Konzernen,1
aggressive,1
Steuervermeidung,1
betreiben,1
Mittelständlern,1
Forschung,11
steuerlich,3
stärker,23
dauerhaft,6
soziale,7
gewährleisten,8
innovative,17
Produkte,2
Dienstleistungen,4
entwickeln,8
Steuerrecht,3
leisten,18
Rahmenbedingungen,16
Bereitstellung,3
Wagniskapital,7
verbessert,4
schaffen,61
bessere,24
Bedingungen,3
Innovationen,18
stete,1
Wandel,3
erfordert,4
aufholen,1
unterstützt,8
Verbesserte,1
Abschreibungsbedingungen,2
verbessern,16
Hierzu,6
degressive,1
Abschreibung,5
AfA,1
bewegliche,1
Wirtschaftsgüter,2
verstetigt,2
digitale,32
Güter,2
einheitliche,11
verkürzte,1
Abschreibungsfristen,1
höchstens,2
festgesetzt,1
sofern,3
Sofortabschreibung,2
Betracht,2
Grenze,2
geringwertiger,1
erhöhen,18
Investitionen,15
Wohnungsbau,2
lineare,2
Fläche,1
halten,8
langfristig,7
sichern,12
insbesondere,32
mittlere,8
Industrie,8
Handwerk,3
Handel,4
ländlichen,7
Regionen,9
Perspektiven,4
Voraussetzungen,6
hierfür,7
flächendeckend,2
zukunftstaugliche,1
Infrastruktur,17
leistungsfähige,1
Verkehrswege,3
starkes,3
duales,4
Abwanderung,2
Überalterung,1
Fachkräftemangel,4
hart,3
moderne,9
Ansätze,2
Hidden,1
Champions,2
Erbgänge,1
Substanzbesteuerung,2
gefährdet,5
lehnen,30
Verschärfung,2
Erbschaftsteuer,3
Wiedereinführung,2
Vermögensteuer,2
Corona,3
Folgen,9
überwinden,9
Rückkehr,1
marktwirtschaftlichen,5
Prinzipien,5
bedingt,2
COVID,1
unverschuldet,1
finanzielle,9
Not,1
geraten,3
Hilfsprogramme,1
Nothilfen,1
Rettungsschirmen,1
einzelne,3
lässt,3
aufrechterhalten,2
ineffizient,1
verzerrt,1
reduziert,4
bestehenden,8
Betrieben,3
Gründerinnen,4
Gründern,2
wächst,3
Marktmacht,4
einzelner,4
Preisen,5
Konsumentinnen,1
Konsumenten,2
Fehlanreizen,1
führt,4
national,2
international,14
vermeiden,6
Verflechtungen,1
Markt,3
Staatswirtschaft,1
entstehen,5
unterstützen,34
gleichmäßig,1
verzerren,2
tragenden,1
beitragen,8
Beteiligungsbremse,2
Anteile,1
Telekom,2
verkaufen,1
Unnötige,2
staatliche,12
Beteiligungen,5
Unternehmensanteile,1
öffentlichen,29
Daseinsvorsorge,1
gehören,9
verkauft,1
Erlös,1
investiert,6
Staatliche,1
Notwendigkeit,1
überprüft,4
perspektivisch,3
zulässig,2
entsprechend,7
Europäische,15
Wettbewerbsordnung,2
faire,7
regelbasierte,1
europäische,20
schützen,18
internationale,15
Standards,12
gehört,12
Einsatz,14
Protektionismus,4
europäischen,42
Binnenmarkt,7
EU,128
Entsenderichtlinie,1
vereinfachen,11
Arbeitnehmer,10
Entsendegesetz,1
entbürokratisieren,5
junge,7
mittelständische,3
Wettbewerbsbedingungen,7
Bereich,10
Digitalwirtschaft,2
Konzentration,2
etablierte,1
behindert,2
echten,7
schadet,3
Verbraucherinnen,5
Verbrauchern,4
Zukunftsfähigkeit,2
Standortes,2
wenden,1
entschieden,7
politische,12
Förderung,25
nationalen,5
Derlei,1
Alleingänge,4
innerhalb,12
Binnenmarktes,1
bremsen,1
Skalierbarkeit,1
senkt,1
letztlich,4
amerikanischer,1
chinesischer,2
Konkurrenz,2
sehen,15
Soziale,3
lernendes,1
System,8
Modell,8
ökonomische,2
Friedensordnung,3
Wirksame,1
Regulierung,10
Gatekeeper,5
wirksame,7
Kontrolle,12
Zugänge,1
Internet,12
kontrollieren,2
Betreiber,1
Suchmaschine,1
soziales,1
Netzwerk,2
dominierende,1
Handelsplattform,1
mittlerer,1
entscheidend,3
beeinflussen,1
speziellen,2
unterworfen,1
beispielsweise,12
Suchergebnissen,1
begünstigen,2
Interoperabilität,4
Angeboten,3
einschränken,1
Geschäftsdaten,1
Partnerinnen,4
Partner,6
unlauterer,1
Vorteil,1
nutzen,20
agierender,1
Rechts,4
Behörden,10
Mitgliedstaaten,19
ausgehen,1
Pläne,2
Schaffung,12
Digital,4
Markets,1
Act,1
Europäischen,25
Union,12
Kartellrecht,1
ergänzende,1
geschaffen,6
Fürsprecher,2
regelbasierten,4
Abschluss,3
weiterer,3
Freihandelsabkommen,5
vorantreibt,1
Hierfür,4
Europas,12
protektionistischen,1
Tendenzen,2
entgegentreten,3
aktive,5
Führungsrolle,2
Handelsverträgen,1
Investitionsabkommen,2
Investitionsbedingungen,1
einnehmen,2
institutionelle,2
Verankerung,1
Freihandelsordnung,1
vorantreiben,9
Handelspolitik,2
nächsten,2
Gewicht,4
verleihen,1
Staatsministerin,1
Staatsminister,1
Außenhandel,1
Bundesministerium,3
Energie,10
zudem,20
Freihandel,2
umbenennen,1
Handlungsfähigkeit,6
erhalten,26
gestalten,12
Japan,3
Abkommen,3
Zustimmung,2
Parlaments,1
regionalen,2
Parlamenten,1
benötigt,2
Marktverzerrungen,1
vorgehen,1
subventionierte,1
Staatsunternehmen,1
Grundsatz,4
Reziprozität,1
wonach,1
Zugang,20
umgekehrt,1
Fall,10
WTO,7
reformieren,10
bewährten,2
Rahmen,14
Welthandelsorganisation,3
weiterentwickeln,15
Reformprozess,1
transparent,4
inklusiv,1
Nationale,4
Willkürzölle,1
tarifäre,1
Handelshemmnisse,2
Blockade,1
Streitbeilegung,1
schnellstmöglich,4
