Term,Frequency
Einladung,1
Liebe,2
Wähler,4
innen,451
Wahlen,6
entscheidet,3
Gesellschaft,75
gilt,59
Bundestagswahl,1
26,1
September,1
endet,1
Ära,3
beginnen,2
Zukunft,47
einfach,11
widerfährt,1
liebe,2
Stimme,3
entscheiden,7
Richtung,5
nimmt,7
BÜNDNIS,2
90,2
GRÜNEN,2
legen,11
Programm,13
inhaltliches,1
Angebot,11
globalen,39
Ausnahmezustands,1
Pandemie,31
Mark,2
getroffen,9
Guten,1
gezeigt,12
Gemeinsamkeit,3
Innovationskraft,6
Widerstandsfähigkeit,1
erreichen,41
Schwachstellen,1
schonungslos,2
offengelegt,2
ohnehin,3
verwundbaren,1
Welt,37
Krisen,16
zuallererst,2
Klimakrise,23
wahre,1
Menschheitskrise,1
wirken,8
Leben,49
hinein,2
gefährden,6
Freiheit,14
Sicherheit,63
Wohlstand,25
Wahl,3
Kopf,7
wachsen,4
hinaus,22
Erfahrungen,5
zeigen,8
gemeinsamer,5
Kraftanstrengung,1
bewältigen,11
Solidarität,8
Verletzlichsten,2
stärksten,4
Schutz,67
gegeben,1
Rücksichtnahme,1
Wissenschaft,34
Fortschritt,3
Täglich,1
Krankenhaus,2
Altersheim,1
Supermarkt,1
Labor,1
Kinder,78
Eltern,21
Lehrkräfte,3
Distanzunterricht,1
Jugendliche,25
Hause,8
Selbständige,13
größte,1
Anpassungsfähigkeit,1
Politik,56
hinauswächst,1
Fehlern,2
lernen,9
erlebt,3
fragil,1
Status,3
quo,1
zerbrechlich,1
rein,4
Profit,3
ausgerichtete,3
Wirtschaft,42
Bedeutung,7
Grundrechte,9
stark,21
erfahren,3
begrenzt,4
nationale,13
Antworten,4
globale,25
Fragen,7
gesehen,3
Unsicherheit,2
entsteht,2
Sicht,3
fährt,1
notwendig,21
Weitblick,2
Frieden,21
vorsorgen,1
widerstandsfähiger,2
schützen,63
umso,5
freier,3
leben,35
Schlüssel,5
vieles,2
Hand,14
Industriegesellschaft,1
sicher,21
Zeitalter,2
Klimaneutralität,23
führt,12
Kohleausstieg,6
beschleunigt,1
Versorgungssicherheit,8
gewährleistet,14
Strom,15
Wind,9
Sonne,4
gewonnen,3
Naturschutz,8
gestärkt,20
sozial,51
ökologische,44
Marktwirtschaft,6
entwickelt,9
zukunftsfähige,9
Jobs,10
sozialen,31
fairen,9
Wettbewerb,20
Deutschland,135
Europa,52
zusammenbringt,3
Globalisierung,3
klare,24
Regeln,25
setzt,12
multinationale,1
Konzerne,9
angemessen,17
besteuert,4
starke,20
Gesundheitsversorgung,13
moderne,8
Infrastruktur,30
Schulen,32
öffentliche,43
Räume,7
funktionierenden,2
bürger,6
innennahen,3
Staat,36
investieren,22
Ungleichheit,7
verringern,13
gleichwertige,7
Lebensverhältnisse,5
Dorf,6
Kleinstadt,1
Metropole,1
herzustellen,1
Zentrum,9
rücken,8
volle,2
Gleichberechtigung,15
Geschlechter,10
vielfältige,20
Einwanderungsgesellschaft,6
gestalten,40
Lage,11
fest,7
entschlossen,4
Wertegemeinschaft,2
demokratisch,5
stärken,180
Systemwettbewerb,2
gerechter,8
handlungsfähiger,1
lässt,7
internationaler,14
meistern,3
Art,5
wirtschaften,5
Orten,5
verschärfen,2
Worte,1
reichen,8
fürs,1
Reaktive,1
letzten,16
versucht,3
Schlimmste,1
verhindern,25
Beste,5
ermöglichen,78
kurzer,2
klimaneutrale,8
epochale,1
Aufgabe,16
inspirierender,1
Kraft,9
Aufschwung,2
schaffen,124
Ökonomische,1
hinausgeht,1
gesellschaftliche,17
Stärke,6
Vielfalt,41
erfasst,4
Bildung,52
Kultur,25
Arbeit,51
Digitalisierung,39
Innovation,10
Anfang,9
schlägt,1
konkrete,9
ehrgeizige,2
Projekte,12
politisches,4
Handeln,22
Bundesregierung,11
kommenden,12
Aufgaben,31
Widerstände,2
ebenfalls,7
voraus,5
Lassen,1
gemeinsam,60
politische,24
Höhe,4
bringen,27
