Term,Frequency
Präambel,1
Ergebnis,2
Bundestagswahl,1
verstehen,4
Parteien,5
Auftrag,4
gemeinsame,21
Regierungskoalition,1
bilden,5
unterschiedliche,3
Traditionen,3
Perspektiven,7
Bereitschaft,1
gemeinsam,40
Verantwortung,39
Zukunft,27
Deutschlands,13
übernehmen,9
Ziel,72
notwendige,12
Modernisierung,11
voranzutreiben,4
Bewusstsein,1
Fortschritt,6
Sicherheitsversprechen,1
einhergehen,1
Zuversicht,1
gelingen,5
verpflichten,8
Wohle,1
Bürgerinnen,13
Bürger,14
dienen,3
Land,23
herausfordert,1
Corona,15
Pandemie,19
stark,6
belastet,2
bedeutet,3
Leid,2
einher,2
existenziellen,1
Sorgen,3
verlangt,3
erhebliche,2
Einschränkungen,2
besiegen,1
vordringlichste,1
Aufgabe,13
voller,2
Kraft,10
widmen,2
notwendigen,27
Schutzmaßnahmen,1
umzusetzen,6
umfassenden,8
Impfschutz,1
gesamtstaatliche,2
gesamtgesellschaftliche,3
Welt,11
Beginn,5
Jahrzehnts,1
Umbruch,1
Stillstand,1
verharren,1
Klimakrise,9
gefährdet,2
Lebensgrundlagen,2
bedroht,1
Freiheit,21
Wohlstand,25
Sicherheit,54
Deutschland,121
Europa,32
angesichts,6
verschärften,1
globalen,12
Wettbewerbs,2
ökonomische,4
Stärke,6
neu,20
begründen,5
internationalen,39
Systemwettstreit,1
gilt,22
Werte,12
entschlossen,6
demokratischen,18
Partnern,20
verteidigen,8
verändert,1
Digitalisierung,57
Art,3
Weise,4
wirtschaften,2
arbeiten,12
miteinander,8
kommunizieren,1
Gesellschaft,27
älter,1
diverser,1
gesellschaftliche,11
Spannungen,3
Zeiten,5
schnellen,6
Wandels,4
reduzieren,24
Vertrauen,4
Demokratie,33
stärken,237
Herausforderungen,21
immens,1
verwoben,1
Gleichzeitigkeit,1
anspruchsvoll,2
prägen,1
Umbrüche,3
gestalten,31
liegen,6
Chancen,23
Koalition,8
nötigen,7
Neuerungen,1
politisch,6
anzuschieben,1
Orientierung,1
geben,14
Dynamik,6
auslösen,1
gesamte,11
hineinwirkt,1
voranbringen,2
Höhe,3
agieren,4
Staat,14
modernisieren,22
staatliches,1
Handeln,5
schneller,16
effektiver,13
künftige,1
Krisen,7
vorbereiten,1
bringen,32
umfassende,14
Verwaltung,15
voran,14
Leben,20
leichter,5
öffentliche,26
Infrastruktur,24
Räume,3
Netze,3
Planung,7
Genehmigung,2
Umsetzung,41
deutlich,23
beschleunigen,37
Wirtschaft,41
Verbündeten,3
30,7
Deutschen,28
Einheit,8
bleibt,9
innere,4
sozial,17
wirtschaftlich,9
vollenden,4
Lebensverhältnisse,11
unseren,36
Regionen,18
Städten,3
ländlichen,10
Raum,17
gleichwertig,1
guten,1
Lebensbedingungen,3
gehören,14
bezahlbares,1
Wohnen,13
schnelles,1
Internet,4
